method,q_error,abs_error
Iconq,1.0428,0.2571
Iconq,1.0416,0.0799
Iconq,1.0638,0.3195
Iconq,1.0232,0.0454
Iconq,1.0461,0.0923
Iconq,1.0169,0.05
Iconq,1.2035,0.5079
Iconq,1.5878,0.5885
Iconq,1.1145,0.2293
Iconq,1.334,0.5014
Iconq,1.0464,0.1857
Iconq,1.0562,0.0533
Iconq,1.3883,0.3888
Iconq,1.0758,0.1517
Iconq,1.1183,0.2117
Iconq,1.1224,0.2452
Iconq,1.2145,0.3537
Iconq,1.0588,0.1177
Iconq,1.0656,1.2935
Iconq,1.0912,0.0913
Iconq,1.1589,0.159
Iconq,1.0159,0.0784
Iconq,1.1306,0.6537
Iconq,1.3897,0.5613
Iconq,1.1296,0.3446
Iconq,1.5731,2.5516
Iconq,1.8547,4.6105
Iconq,1.0804,0.8939
Iconq,1.1011,0.2755
Iconq,1.5665,1.1335
Iconq,1.1295,0.2294
Iconq,1.2137,0.5286
Iconq,1.1656,0.4973
Iconq,1.1619,2.43
Iconq,1.0918,0.0842
Iconq,1.0166,0.0163
Iconq,1.0921,0.0921
Iconq,1.1149,0.1149
Iconq,1.0286,0.0279
Iconq,1.7681,0.7682
Iconq,1.2277,0.2279
Iconq,1.7145,0.715
Iconq,1.0028,0.0197
Iconq,1.044,0.088
Iconq,1.1853,0.3708
Iconq,1.1117,0.5028
Iconq,1.636,0.7782
Iconq,1.0558,0.0558
Iconq,1.0793,0.3174
Iconq,1.2192,0.2192
Iconq,1.2789,0.279
Iconq,1.3557,0.5253
Iconq,1.048,0.0961
Iconq,2.0028,1.0022
Iconq,1.2032,0.4067
Iconq,1.6045,0.7544
Iconq,1.1124,0.4505
Iconq,1.0201,0.0201
Iconq,1.0406,0.1172
Iconq,1.0329,0.0329
Iconq,1.1122,0.2247
Iconq,1.0558,0.5027
Iconq,1.2823,0.2825
Iconq,1.1032,0.1033
Iconq,1.3279,0.3281
Iconq,1.0559,0.056
Iconq,1.2356,0.2358
Iconq,1.0758,0.0758
Iconq,1.0159,0.0157
Iconq,1.1498,0.3909
Iconq,1.3077,0.3078
Iconq,1.1109,0.555
Iconq,1.0157,0.0155
Iconq,1.1605,0.1385
Iconq,1.4359,0.9111
Iconq,1.1914,0.1915
Iconq,1.1047,0.2097
Iconq,1.1258,0.2238
Iconq,1.0553,0.1109
Iconq,1.2023,0.81
Iconq,1.1644,0.1645
Iconq,1.0462,0.0462
Iconq,1.0564,0.113
Iconq,1.0794,0.1475
Iconq,1.2182,0.4373
Iconq,1.0183,0.036
Iconq,1.1549,0.3101
Iconq,1.2816,0.8457
Iconq,1.6053,0.6063
Iconq,1.0336,0.0674
Iconq,1.1145,0.3443
Iconq,1.072,0.0673
Iconq,1.5817,0.7367
Iconq,1.1706,0.3418
Iconq,1.0507,0.0966
Iconq,1.1265,0.3799
Iconq,1.1453,0.3811
Iconq,1.0595,0.1692
Iconq,1.3819,0.3827
Iconq,1.0916,0.3667
Iconq,1.0191,0.0191
Iconq,1.0971,0.0971
Iconq,1.055,0.1651
Iconq,1.0108,0.032
Iconq,1.0416,0.1198
Iconq,1.1715,0.1716
Iconq,1.1255,0.3771
Iconq,1.4218,0.4227
Iconq,1.3891,0.5611
Iconq,1.0422,0.1269
Iconq,1.2676,0.2682
Iconq,1.3873,0.5596
Iconq,1.0757,0.1518
Iconq,1.3262,0.493
Iconq,1.0888,0.2668
Iconq,1.266,0.631
Iconq,1.0686,0.6185
Iconq,1.3269,0.2465
Iconq,1.161,0.1611
Iconq,1.3293,0.3295
Iconq,1.2341,0.2346
Iconq,1.0177,0.0177
Iconq,1.421,0.4212
Iconq,1.2896,0.2898
Iconq,1.3776,1.1353
Iconq,1.3044,0.305
Iconq,1.5332,0.6968
Iconq,1.1402,0.2808
Iconq,2.0395,1.021
Iconq,1.024,0.0961
Iconq,1.1339,0.1339
Iconq,1.3441,0.3445
Iconq,1.1241,0.2226
Iconq,1.1835,0.3675
Iconq,2.03,1.0172
Iconq,1.1204,0.2413
Iconq,1.8157,0.9
Iconq,1.0693,0.6241
Iconq,1.0322,0.0322
Iconq,1.0396,0.0396
Iconq,1.0066,0.0066
Iconq,1.284,0.2842
Iconq,1.0951,0.2855
Iconq,1.5114,0.5115
Iconq,2.2363,1.6606
Iconq,1.1987,0.1988
Iconq,1.0569,0.1138
Iconq,1.0797,0.3193
Iconq,1.0837,0.0773
Iconq,1.2236,0.5493
Iconq,1.7161,0.7177
Iconq,1.1024,0.205
Iconq,1.2118,0.8486
Iconq,1.0075,0.0148
Iconq,1.8027,1.3381
Iconq,1.2189,0.2194
Iconq,1.057,0.1142
Iconq,1.2206,0.4421
Iconq,1.1792,0.3052
Iconq,1.1437,0.4319
Iconq,1.078,0.2344
Iconq,1.1671,0.1675
Iconq,1.8297,0.9082
Iconq,1.0119,0.0595
Iconq,1.1187,0.3565
Iconq,1.0771,0.2868
Iconq,1.0751,0.07
Iconq,1.1649,0.165
Iconq,1.0667,0.1336
Iconq,1.169,0.5075
Iconq,1.2167,0.2171
Iconq,1.2863,0.4459
Iconq,1.0384,0.1154
Iconq,1.026,0.0254
Iconq,1.2937,0.8814
Iconq,1.0313,0.0941
Iconq,1.1177,0.1178
Iconq,1.1502,0.3009
Iconq,1.148,0.5929
Iconq,1.2582,0.2584
Iconq,1.3344,0.3352
Iconq,1.1386,0.244
Iconq,1.1442,0.4332
Iconq,1.436,0.437
Iconq,1.1209,0.216
Iconq,1.5276,0.6917
Iconq,1.1107,0.2225
Iconq,1.0018,0.0036
Iconq,1.0982,0.4917
Iconq,1.3123,0.3124
Iconq,1.4162,0.4171
Iconq,1.3937,0.3943
Iconq,1.0671,0.1259
Iconq,1.1059,0.2121
Iconq,1.0273,0.0819
Iconq,1.2492,0.1999
